,Rank,branch_ins
1224,1319,1134107
1225,1320,1104107
1226,1323,1094109
1227,1324,1105602
1228,1327,1104127
1229,1328,1104107
1230,1329,1104107
1231,1330,1144111
1232,1331,1014111
1233,1333,1094101
1234,1334,1094202
1235,1335,1134107
1236,1336,1064109
1237,1337,1104127
1238,1338,1134107
1239,1339,1194124
1240,1340,1094109
1241,1341,1164125
1242,1342,1034111
1243,1343,1024107
1244,1344,1064109
1245,1345,1134109
1246,1346,1134109
1247,1349,1025235
1248,1350,102520C
1249,1352,1164125
1250,1353,1154111
1251,1354,1084111
1252,1355,1154111
1253,1359,1094109
1254,1360,1074118
1255,1362,1024201
1256,1363,1154110
1257,1364,1214111
1258,1365,1064109
1259,1366,1124110
1260,1367,1144111
1261,1368,1065210
1262,1369,1174107
1263,1371,1104125
1264,1372,1094109
1265,1373,1134109
1266,1374,1124144
1267,1375,1144111
1268,1376,1174107
1269,1377,1164113
1270,1378,1134109
1271,1379,1094109
1272,1380,1094109
1273,1381,1064109
1274,1382,1144111
1275,1383,1094123
1276,1384,1065210
1277,1385,1144111
1278,1386,1014114
1279,1387,1064202
1281,1388,1084188
1282,1389,1134127
1283,1390,1094202
1284,1392,1164125
1285,1393,1144114
1286,1394,1174107
1287,1395,1134127
1288,1396,1214111
1289,1397,1174107
1290,1398,102520C
1291,1400,1064109
1292,1401,1134117
1293,1402,1064109
1294,1403,1204187
1295,1405,1144111
1296,1406,1014111
1297,1408,1204187
1298,1409,1105227
1299,1410,1064208
1300,1411,1144111
1301,1412,1054125
1302,1414,1054125
1303,1415,1065210
1304,1417,1094202
1305,1418,1064109
1306,1419,1104125
1307,1420,1164113
1308,1421,1094202
1309,1422,1124144
1310,1424,1044139
1311,1425,1154111
1312,1426,1194124
1313,1427,1174109
1314,1428,1014111
1315,1429,1064127
1316,1430,1164107
1317,1431,1104125
1318,1432,1094203
1319,1433,1154111
1320,1434,1164111
1321,1435,1174109
1322,1436,1124144
1323,1437,1094101
1324,1438,1105227
1325,1439,1154124
1326,1440,1014111
1327,1441,1104125
1328,1444,1154111
1329,1445,1194124
1330,1447,1224110
1331,1448,1064105
1332,1449,1124144
1333,1450,1174198
1334,1451,1174107
1335,1452,1105227
1336,1454,1024201
1337,1455,1065241
1338,1456,1124208
1339,1457,1034111
1340,1458,1174109
1341,1459,1174108
1342,1460,1044105
1343,1461,1094202
1345,1462,1204110
1346,1463,1064122
1347,1464,1074107
1348,1465,1174109
1349,1466,1034111
1350,1467,1064202
1351,1468,1174107
1352,1469,102520C
1353,1470,1204111
1354,1471,1044105
1355,1472,1084125
1356,1474,1144125
1357,1478,1104127
1358,1479,1164125
1359,1480,1134136
1360,1481,1064127
1361,1482,1084111
1362,1483,1065281
1363,1484,1134136
1364,1485,1174107
1365,1486,1174107
1366,1487,1065210
1367,1488,1065215
1368,1489,1105227
1369,1491,1194124
1370,1493,1054125
1371,1494,1164109
1372,1495,1084111
1373,1497,1014125
1374,1498,1044105
1375,1499,1164125
1376,1500,1044105
1377,1501,1124208
1378,1503,1104127
1379,1505,1064127
1380,1506,1084111
1381,1509,1204110
1382,1510,1135607
1383,1511,1044105
1384,1513,1104127
1385,1514,1044105
1386,1515,1174109
1387,1516,1115217
1388,1518,1174198
1389,1520,1065210
1390,1521,1104132
1391,1522,1034111
1392,1523,1174109
1393,1524,1164125
1394,1525,1164125
1395,1526,1135606
1396,1527,1124144
1397,1528,1174107
1398,1529,1164125
1399,1530,1054125
1400,1531,1074107
1401,1532,1164125
1402,1533,1164125
1403,1536,1045210
1404,1537,1134117
1405,1538,1234110
1406,1539,1105227
1407,1540,1114125
1409,1542,1164113
1410,1543,1105207
1411,1544,1234124
1412,1545,1065215
1413,1550,1174109
1414,1551,1065215
1415,1552,1054125
1416,1553,1074107
1417,1554,1104127
1418,1555,1174109
1419,1556,1074109
1420,1557,1064127
1421,1558,1234124
1422,1559,1134136
1423,1560,1174109
1424,1561,1165233
1425,1562,1174109
1426,1563,1074118
1427,1564,1105227
1428,1565,1084111
1429,1566,1064202
1430,1567,1024198
1431,1568,1084111
1432,1569,1134127
1433,1570,1104125
1434,1571,1074118
1435,1572,1164107
1436,1573,1174107
1437,1574,1124144
1438,1575,1164125
1439,1576,1074118
1440,1577,1164125
1441,1578,1045210
1442,1580,1164125
1443,1581,1064127
1444,1582,1164125
1445,1583,1094123
1446,1584,1044109
1447,1585,1044109
1448,1586,1134136
1449,1587,1054125
1450,1588,1134107
1451,1589,1134136
1452,1590,1034111
1453,1591,1164109
1454,1592,1234111
1455,1593,1054125
1456,1594,1174109
1457,1597,1074107
1458,1598,1074109
1459,1599,1174109
1460,1601,1044105
1461,1602,1134127
1462,1605,1084111
1463,1606,1024117
1464,1607,1164125
1465,1609,1034111
1466,1610,1064170
1467,1611,1054111
1468,1612,1064122
1469,1613,1034111
1470,1615,1174108
1471,1616,1065201
1473,1617,1214111
1474,1618,1184110
1475,1620,1064105
1476,1621,1165233
1477,1622,1064127
1478,1623,1024201
1479,1624,1105602
1480,1625,1014125
1481,1628,1174108
1482,1629,1214111
1483,1630,1054125
1484,1631,1064107
1485,1632,1214125
1486,1633,1034125
1487,1634,1065243
1488,1635,1174109
1489,1637,1134107
1490,1638,1164109
1491,1639,1074107
1492,1640,1174109
1493,1641,1134125
1494,1642,1094125
1495,1643,1144125
1496,1644,1044109
1497,1645,1104132
1498,1646,1074109
1499,1647,1134127
1500,1648,1165213
1501,1650,1054111
1502,1651,1165233
1503,1652,1094107
1504,1653,1105227
1505,1654,1064122
1506,1656,1064125
1507,1657,1044139
1508,1658,1184110
1509,1659,1065215
1510,1660,1074109
1511,1661,1064202
1512,1662,1044139
1513,1663,1194111
1514,1664,1204111
1515,1665,1164125
1516,1666,1234124
1517,1667,1174117
1518,1668,1184111
1519,1670,1164125
1520,1673,1165233
1521,1675,1074109
1522,1677,1234124
