,branch_ins,median,College,Branch
270,1015260,14720.0,IIT Bhubaneswar,"Civil Engineering and  M. Tech in Transportation Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
264,1214109,14933.0,IIT Tirupati,"Civil Engineering (4 Years, B. Tech)"
272,1015288,15014.5,IIT Bhubaneswar,"Civil Engineering and  M. Tech. in Environmental Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
269,1165209,15029.0,IIT (BHU) Varanasi,"Ceramic Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
258,1224107,15055.0,IIT Jammu,"Chemical Engineering (4 Years, B. Tech)"
256,1144131,15337.0,IIT (ISM) Dhanbad,"Mining Machinery Engineering(4 Years, B. Tech)"
267,1165291,15407.0,IIT (BHU) Varanasi,"Pharmaceutical Engineering &  Technology(5 Years, B. Tech- M. Tech Dual Deg.)"
260,1204109,15519.5,IIT Palakkad,"Civil Engineering (4 Years, B. Tech)"
263,1084212,15520.0,IIT Jodhpur,"Chemistry with Specialization (4 Years, Bachelor of Science)"
266,1234141,15554.0,IIT Dharwad,"Civil and  Infrastructure Engineering(4 Years, B. Tech)"
259,1224109,15564.5,IIT Jammu,"Civil Engineering (4 Years, B. Tech)"
268,123410D,15628.5,IIT Dharwad,"Chemical and  Biochemical Engineering (4 Years, B. Tech)"
273,1145306,15925.5,IIT (ISM) Dhanbad,"Applied Geology(5 Years, Integrated Master of Technology)"
274,1145307,15951.5,IIT (ISM) Dhanbad,"Applied Geophysics (5 Years, Integrated Master of Technology)"
275,1224193,16130.5,IIT Jammu,"Materials Engineering(4 Years, B. Tech)"
271,1235609,16402.0,IIT Dharwad,"Interdisciplinary Sciences(5 Years, Bachelor of Science and  Master of Science ( Dual Degree))"
218,1135101,16977.0,IIT Roorkee,"Architecture(5 Years, Bachelor of Architecture)"
205,1065101,16980.5,IIT Kharagpur,"Architecture(5 Years, Bachelor of Architecture)"
276,1165101,18577.0,IIT (BHU) Varanasi,"Architecture(5 Years, Bachelor of Architecture)"
