,College,Branch,Category,Gender,Opening_Rank,Closing_Rank,branch_ins
94,IIT Bhubaneswar,"Mechanical Engineering and  M. Tech. in Mechanical System Design (5 Years, B. Tech - M. Tech Dual Deg.)",SC,N,2036,2055,1015284
95,IIT Bhubaneswar,"Mechanical Engineering and  M. Tech. in Mechanical System Design (5 Years, B. Tech - M. Tech Dual Deg.)",ST,N,1058,1058,1015284
96,IIT Bhubaneswar,"Mechanical Engineering and  M. Tech. in Mechanical System Design (5 Years, B. Tech - M. Tech Dual Deg.)",ST,F,1430,1430,1015284
97,IIT Bhubaneswar,"Mechanical Engineering and  M. Tech. in Thermal Science &  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,N,10951,12484,1015285
98,IIT Bhubaneswar,"Mechanical Engineering and  M. Tech. in Thermal Science &  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,F,21755,21755,1015285
99,IIT Bhubaneswar,"Mechanical Engineering and  M. Tech. in Thermal Science &  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",EWS,N,1798,1798,1015285
100,IIT Bhubaneswar,"Mechanical Engineering and  M. Tech. in Thermal Science &  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,N,4107,4368,1015285
101,IIT Bhubaneswar,"Mechanical Engineering and  M. Tech. in Thermal Science &  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,F,7954,7954,1015285
102,IIT Bhubaneswar,"Mechanical Engineering and  M. Tech. in Thermal Science &  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",SC,N,2321,2321,1015285
103,IIT Bhubaneswar,"Mechanical Engineering and  M. Tech. in Thermal Science &  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",SC,F,3317,3317,1015285
104,IIT Bhubaneswar,"Mechanical Engineering and  M. Tech. in Thermal Science &  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)",ST,N,1049,1049,1015285
105,IIT Bhubaneswar,"Mechanical Engineering with M. Tech. in Manufacturing Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,N,10269,11778,1015287
106,IIT Bhubaneswar,"Mechanical Engineering with M. Tech. in Manufacturing Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,F,19294,19294,1015287
107,IIT Bhubaneswar,"Mechanical Engineering with M. Tech. in Manufacturing Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",EWS,N,1724,1756,1015287
108,IIT Bhubaneswar,"Mechanical Engineering with M. Tech. in Manufacturing Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,N,4096,4374,1015287
109,IIT Bhubaneswar,"Mechanical Engineering with M. Tech. in Manufacturing Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,F,8408,8408,1015287
110,IIT Bhubaneswar,"Mechanical Engineering with M. Tech. in Manufacturing Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",SC,N,2306,2306,1015287
111,IIT Bhubaneswar,"Mechanical Engineering with M. Tech. in Manufacturing Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",SC,F,3285,3285,1015287
112,IIT Bhubaneswar,"Mechanical Engineering with M. Tech. in Manufacturing Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",ST,N,1025,1025,1015287
113,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (4 Years, B. Tech)",OPEN,N,9953,14122,1014127
114,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (4 Years, B. Tech)",OPEN,F,18657,18693,1014127
115,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (4 Years, B. Tech)",EWS,N,2185,2185,1014127
116,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (4 Years, B. Tech)",EWS,F,3442,3442,1014127
117,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (4 Years, B. Tech)",OBC-NCL,N,4661,5010,1014127
118,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (4 Years, B. Tech)",OBC-NCL,F,7466,7466,1014127
